============================================================
Programa 2 - Cobertura de 14 elementos
Universo U = {1..25}, candidatos S15, alvos S14
Lower bound LP: |SB| >= 297,160
============================================================

[1/3] Gerando S15 (C(25,15) = 3,268,760 elementos)...
      OK em 9.5s | memoria: 13.1 MB

[2/3] Gerando S14 (C(25,14) = 4,457,400 elementos)...
      OK em 12.2s | memoria: 17.8 MB

[3/3] Executando Greedy Set Cover (p=14)...

[Greedy] p=14 | |S15|=3,268,760 | |Sp|=4,457,400
         Cobertura por X: C(15,14)=15
         Extensoes por Y: C(11,1)=11
         Lower bound |SB| >= 297,160

  Construindo indices... OK (5.1s)
  Estrategia: heap lazy (150 updates/iter estimados)
  iter=     1 | |SB|=     1 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=313s
  iter=     2 | |SB|=     2 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=291s
  iter=     3 | |SB|=     3 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=276s
  iter=     4 | |SB|=     4 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=266s
  iter=     5 | |SB|=     5 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=260s
  iter=     6 | |SB|=     6 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=254s
  iter=     7 | |SB|=     7 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=253s
  iter=     8 | |SB|=     8 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=237s
  iter=     9 | |SB|=     9 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=227s
  iter=    10 | |SB|=    10 | cobertos=  0.0% | novos=   15 | loop=0.0s | ETA=214s
  iter=   100 | |SB|=   100 | cobertos=  0.0% | novos=   15 | loop=0.1s | ETA=190s
  iter=   200 | |SB|=   200 | cobertos=  0.1% | novos=   15 | loop=0.1s | ETA=182s
  iter=   300 | |SB|=   300 | cobertos=  0.1% | novos=   15 | loop=0.2s | ETA=182s
  iter=   400 | |SB|=   400 | cobertos=  0.1% | novos=   15 | loop=0.3s | ETA=188s
  iter=   500 | |SB|=   500 | cobertos=  0.2% | novos=   15 | loop=0.3s | ETA=197s
  iter=   600 | |SB|=   600 | cobertos=  0.2% | novos=   15 | loop=0.4s | ETA=203s
  iter=   700 | |SB|=   700 | cobertos=  0.2% | novos=   15 | loop=0.5s | ETA=208s
  iter=   800 | |SB|=   800 | cobertos=  0.3% | novos=   15 | loop=0.6s | ETA=205s
  iter=   900 | |SB|=   900 | cobertos=  0.3% | novos=   15 | loop=0.6s | ETA=207s
  iter=  1000 | |SB|= 1,000 | cobertos=  0.3% | novos=   15 | loop=0.7s | ETA=209s
  iter=  1100 | |SB|= 1,100 | cobertos=  0.4% | novos=   15 | loop=0.8s | ETA=210s
  iter=  1200 | |SB|= 1,200 | cobertos=  0.4% | novos=   15 | loop=0.8s | ETA=208s
  iter=  1300 | |SB|= 1,300 | cobertos=  0.4% | novos=   15 | loop=0.9s | ETA=212s
  iter=  1400 | |SB|= 1,400 | cobertos=  0.5% | novos=   15 | loop=1.0s | ETA=213s
  iter=  1500 | |SB|= 1,500 | cobertos=  0.5% | novos=   15 | loop=1.1s | ETA=213s
  iter=  1600 | |SB|= 1,600 | cobertos=  0.5% | novos=   15 | loop=1.2s | ETA=213s
  iter=  1700 | |SB|= 1,700 | cobertos=  0.6% | novos=   15 | loop=1.2s | ETA=212s
  iter=  1800 | |SB|= 1,800 | cobertos=  0.6% | novos=   15 | loop=1.3s | ETA=208s
  iter=  1900 | |SB|= 1,900 | cobertos=  0.6% | novos=   15 | loop=1.3s | ETA=207s
  iter=  2000 | |SB|= 2,000 | cobertos=  0.7% | novos=   15 | loop=1.4s | ETA=207s
  iter=  2100 | |SB|= 2,100 | cobertos=  0.7% | novos=   15 | loop=1.5s | ETA=207s
  iter=  2200 | |SB|= 2,200 | cobertos=  0.7% | novos=   15 | loop=1.5s | ETA=206s
  iter=  2300 | |SB|= 2,300 | cobertos=  0.8% | novos=   15 | loop=1.6s | ETA=205s
  iter=  2400 | |SB|= 2,400 | cobertos=  0.8% | novos=   15 | loop=1.7s | ETA=204s
  iter=  2500 | |SB|= 2,500 | cobertos=  0.8% | novos=   15 | loop=1.7s | ETA=204s
  iter=  2600 | |SB|= 2,600 | cobertos=  0.9% | novos=   15 | loop=1.8s | ETA=204s
  iter=  2700 | |SB|= 2,700 | cobertos=  0.9% | novos=   15 | loop=1.9s | ETA=205s
  iter=  2800 | |SB|= 2,800 | cobertos=  0.9% | novos=   15 | loop=2.0s | ETA=205s
  iter=  2900 | |SB|= 2,900 | cobertos=  1.0% | novos=   15 | loop=2.0s | ETA=204s
  iter=  3000 | |SB|= 3,000 | cobertos=  1.0% | novos=   15 | loop=2.1s | ETA=204s
  iter=  3100 | |SB|= 3,100 | cobertos=  1.0% | novos=   15 | loop=2.2s | ETA=206s
  iter=  3200 | |SB|= 3,200 | cobertos=  1.1% | novos=   15 | loop=2.2s | ETA=207s
  iter=  3300 | |SB|= 3,300 | cobertos=  1.1% | novos=   15 | loop=2.3s | ETA=207s
  iter=  3400 | |SB|= 3,400 | cobertos=  1.1% | novos=   15 | loop=2.4s | ETA=208s
  iter=  3500 | |SB|= 3,500 | cobertos=  1.2% | novos=   15 | loop=2.5s | ETA=208s
  iter=  3600 | |SB|= 3,600 | cobertos=  1.2% | novos=   15 | loop=2.6s | ETA=208s
  iter=  3700 | |SB|= 3,700 | cobertos=  1.2% | novos=   15 | loop=2.6s | ETA=209s
  iter=  3800 | |SB|= 3,800 | cobertos=  1.3% | novos=   15 | loop=2.7s | ETA=210s
  iter=  3900 | |SB|= 3,900 | cobertos=  1.3% | novos=   15 | loop=2.8s | ETA=211s
  iter=  4000 | |SB|= 4,000 | cobertos=  1.3% | novos=   15 | loop=2.9s | ETA=212s
  iter=  4100 | |SB|= 4,100 | cobertos=  1.4% | novos=   15 | loop=3.0s | ETA=212s
  iter=  4200 | |SB|= 4,200 | cobertos=  1.4% | novos=   15 | loop=3.0s | ETA=212s
  iter=  4300 | |SB|= 4,300 | cobertos=  1.4% | novos=   15 | loop=3.1s | ETA=212s
  iter=  4400 | |SB|= 4,400 | cobertos=  1.5% | novos=   15 | loop=3.2s | ETA=211s
  iter=  4500 | |SB|= 4,500 | cobertos=  1.5% | novos=   15 | loop=3.2s | ETA=210s
  iter=  4600 | |SB|= 4,600 | cobertos=  1.5% | novos=   15 | loop=3.3s | ETA=210s
